full_text,view_count,bookmark_count,favorite_count,reply_count,retweet_count,created_at,followers_count,following_count,favourites_count,Source_File,sentiment
 Im guessing some so and some dont thought India does not treat West Bengal well at all everyone knows it should have been a part of Bangladesh we were robbed of it but what can you do now is what it is politics etc Also parts of BD are getting invaded under the radar atm,103,0,0,1,0,"22/06/2024, 20:42:56",614,131,152944,Week 25.csv,negative
India is going wit good RR   not an easy job for Bangladesh to chase  against indian bowling,347,0,2,1,0,"22/06/2024, 20:18:06",14006,2081,384194,Week 25.csv,positive
"The textile workers strike in Bangladesh the womens march in Pakistan and the farmers movement in India are fighting the politics of hate and helping build peoples power in South Asia 

Come celebrate resistance with us

",53,0,0,0,0,"22/06/2024, 19:51:10",1932,683,24078,Week 25.csv,positive
Looks like Mathew Mott is doing dual coaching role in England and Bangladesh team right now ,423,0,11,4,0,"22/06/2024, 19:43:13",2422,3558,251113,Week 25.csv,neutral
"Shame on BCCI Politics 
They will win easily against afganistan Bangladesh Usa even with U team but with their ego they are not going to win against the Top  teams
Justice for Sanju Samson 
SanjuSamson",179,0,3,0,1,"22/06/2024, 19:29:39",24,359,3750,Week 25.csv,negative
"BIG NEWS 

                 


















news india media breakingnews politics noticias newsupdate info thevoicenews
thevoicenewsvapi jantakiawaz Bangladesh MEA ",22,0,0,0,0,"22/06/2024, 19:17:42",70,115,74,Week 25.csv,neutral
  Yep I ride those buses in St Catharines every day  It looks more like the Bangladesh Bullet on the regional transit from St Catharines to Niagara Falls every day as all the students with their education visas are educated to work at a Tim Hortons near you,41,0,1,1,0,"22/06/2024, 19:04:43",72,79,364,Week 25.csv,neutral
"BNP Secretary General Mirza Fakhrul Islam Alamgir today said that their party Chairperson KhaledaZias condition is very critical
Politics Bangladesh 
",472,0,3,0,0,"22/06/2024, 19:03:45",1880017,64,461,Week 25.csv,negative
"       

PMModi Bangladesh Hyderabad Shorts SheikhHasina WorldNews Politics Reels Trending ShortVideo Viral Delhi    India  ",107,0,0,0,0,"22/06/2024, 19:03:06",22163,7,317,Week 25.csv,neutral
"           

PMModi Bangladesh Hyderabad Shorts SheikhHasina WorldNews Politics Reels Trending ShortVideo Viral Delhi    India  ",109,0,0,0,0,"22/06/2024, 19:01:22",22163,7,317,Week 25.csv,neutral
"PM             

PMModi Bangladesh Hyderabad Shorts SheikhHasina WorldNews Politics Reels Trending ShortVideo Viral Delhi
   India  ",105,0,0,0,0,"22/06/2024, 19:00:05",22163,7,317,Week 25.csv,neutral
     I studied in Kharkiv Kharkov Harkow and hundreds foreign students from a lot of countries India Bangladesh Rpublique Togolaise Republic of Ghana Rpublique du Bnin also  and all still alive and happy Individual racists you can find in any country,98,0,1,6,0,"22/06/2024, 18:23:48",39,111,6941,Week 25.csv,negative
"   India is one of largest buyer of oil from arab which run ur economy 
Most of skill based jobs r done by Indian in Arab amp low paid jobs r mostly done by ur brother muslim country Pakistan syria gaza Bangladesh Afghanistan
Those indian who do low wage job r from ur community ",120,0,0,1,0,"22/06/2024, 18:23:40",18,84,128,Week 25.csv,neutral
"India is our major neighbour trusted friend and regional partner

PMModi Bangladesh Hyderabad Shorts SheikhHasina WorldNews Politics Reels Trending ShortVideo Viral Delhi    India     ",98,0,0,0,0,"22/06/2024, 18:13:28",11345,4,529,Week 25.csv,positive
"PM Sheikh Hasina is our first State Guest in our third tenure

PMModi Bangladesh Hyderabad Shorts SheikhHasina WorldNews Politics Reels Trending ShortVideo Viral Delhi    India     ",697,0,0,0,0,"22/06/2024, 18:02:04",11345,4,529,Week 25.csv,neutral
" dont forget you have to help Hindu in India as well Politics is not always about outside image Bangladesh is known to prosecute Hindus  What do we get from these M nations other than their conspiracy with Sonia Gandhi
   ",227,0,14,2,7,"22/06/2024, 17:45:07",2797,2192,40960,Week 25.csv,negative
WB is among two states that have a say wrt Indias relations with neighboring country I hope that Indias internal politics and the water issue do not let Bangladesh sit in Chinas lap There is a threshold to which Sheikh Hasina can soak the internal political pressure ,41,0,0,0,0,"22/06/2024, 17:08:05",95,131,54437,Week 25.csv,neutral
"At least  people were injured in a clash between two groups of the Awami League in Bagha upazila of Rajshahi today
Bangladesh Politics 
",574,0,2,0,0,"22/06/2024, 17:06:37",1880017,64,461,Week 25.csv,negative
"PMModi holds bilateral meeting with Bangladesh PM Sheikh Hasina at Hyderabad House Delhi

Shorts SheikhHasina BilateralTalks WorldNews Politics Reels Trending ShortVideo Viral Delhi    ",98,0,0,0,0,"22/06/2024, 17:01:23",11345,4,529,Week 25.csv,neutral
"Good Job
SaiKetanRao JunaidKhan INDvsBAN Yogi VoteReformUK Sanju Bangladesh Smackdown KotaFactory",380,0,1,0,0,"22/06/2024, 16:55:40",27,48,1988,Week 25.csv,positive
  bangladesh actually west bengal is graveyard of Govt Job Aspirants,36,0,0,0,0,"22/06/2024, 15:31:02",7,56,3833,Week 25.csv,negative
 I must disagree they will be there but not in Bangladesh but all over Bharat mostly in WB under false identity     bjp inc modigovt,5,0,0,0,0,"22/06/2024, 15:30:12",120,556,12,Week 25.csv,negative
"th Safe HVACR amp Cold Chain is the one and only dedicated exhibition on Heating Ventilation AirConditioning AirFiltration amp Purification amp Refrigeration Systems Cold Chain Management System Solutions and Services in Bangladesh

Held on    May   ICCB Dhaka ",22,0,0,0,0,"22/06/2024, 15:22:50",24,0,32,Week 25.csv,neutral
"Good Job
SaiKetanRao JunaidKhan INDvsBAN Yogi VoteReformUK Sanju Bangladesh Smackdown KotaFactory
Nice Duty",391,0,0,0,0,"22/06/2024, 15:21:27",32,89,2200,Week 25.csv,positive
 Bengali Hindus who were forced by muslim jihadi to take refuge in west bengal didnt learn anything Its just a matter of time that what happened in Bangladesh will happen in West Bengal after few years due to appeasement politics by TMC goons and Mamata Banerjee,8,0,0,0,0,"22/06/2024, 15:10:41",3,14,8,Week 25.csv,negative
"   They actually employee more for these job from Pakistan and Bangladesh muslim majority nations 
Look at the demographics",27,0,0,0,0,"22/06/2024, 14:45:13",29,140,2300,Week 25.csv,neutral
" You forget one important thing
CM Joyti Basu gave land to Hindu immigrant people from Bangladesh
It was very good job for Hindu people from East Bengal
BJPRSS party always keep mum in this important humanitarian work of CM Joyti Basu led left govt",59,0,1,0,0,"22/06/2024, 14:22:30",39,34,6242,Week 25.csv,positive
 You have very little understanding of Indian Polity and Its system Unlike Bangladesh India is not a single entity but a federal state Its power is decentralised and river water sharing Security education healthcare are solely state subject Central Govt cant  do anything,24,0,1,1,0,"22/06/2024, 14:06:42",123,852,169,Week 25.csv,negative
 Export of   Electricity from Jharkhand to Bangladesh by Adani How Nepal in picture Nepal itself purchasing Electricity from India Big or Bug English words mesmerising the unqualified Reporters who are listening like a Kindergarten Students Not one cross questioned,36,0,1,0,1,"22/06/2024, 14:02:46",23,41,1360,Week 25.csv,neutral
 I was also in false pretence that Bangladeshi must like us then I went to work in Bangladesh amp interacted with a few Bangla Hindus and trust me I was saddened to hear their stories from s amp s but more shockingly they continue to suffer even day They live in constant fear,100,0,0,0,0,"22/06/2024, 13:39:22",67,158,11138,Week 25.csv,negative
"PMModi sheikhhasina Bangladesh Bharat 
PM Narendra Modi at the Ceremonial Reception of Bangladesh PM Rashtrapa  via ",21,0,0,0,0,"22/06/2024, 13:20:45",159,1092,296,Week 25.csv,neutral
"PMModi sheikhhasina Bangladesh Bharat 
LIVE PM Modi and Bangladesh PM at joint press meet  via ",18,0,0,0,0,"22/06/2024, 13:11:05",159,1092,296,Week 25.csv,neutral
" June   Hundreds of thousands gathered at a protest rally demanding the unconditional release of BNP Chairperson Begum Khaleda Zia

            

FreeKhaledaZia  BNP ",217,1,15,0,0,"30/06/2024, 04:08:16",4812,284,1579,Week 26.csv,neutral
"Were all mobilised for Gaza but is the upcoming election the best way to make a difference

Can the broken Westminster based politics be fixed

As a community we need to build our OWN power to make change

 ",32,0,0,1,0,"30/06/2024, 03:16:38",21727,1033,3605,Week 26.csv,neutral
" Bangladesh Liberation War from Pakistan 

I must remind the Americans of American EVILISM I want to see if Americans can count And if all kinds of humans matter to Americans 

The country that was supported by America was shariah Pakistan ALL FOR SHEER POLITICS ",374,1,13,1,4,"30/06/2024, 02:51:54",11156,2928,21253,Week 26.csv,negative
"Birdseye view  Hundreds of thousands gathered at a protest rally demanding the unconditional release of BNP Chairperson Begum Khaleda Zia

              

FreeKhaledaZia BNP ",409,1,36,0,3,"30/06/2024, 02:06:40",4812,284,1579,Week 26.csv,neutral
" people of Pakistan dont know the meaning of Deen
sahiladeem islamicmessagingsystem deen islam pakistan karachi lahore islamabad india bangladesh muslim sahiladeemshortvideo parenting deenislam ",46804,40,506,38,228,"30/06/2024, 00:10:08",13463,0,100,Week 26.csv,negative
"

The International Monetary Fund IMF has lauded Bangladesh for recent introduction of the Crawling Peg MidRate CPMR system which is helping foreign exchange reserves going forward",30,0,0,0,0,"29/06/2024, 23:35:12",4,15,0,Week 26.csv,positive
 VBA performance was similar to Bangladesh No MP No MLA loss of deposit on all seats Shame on your politics,101,0,0,1,0,"29/06/2024, 23:21:59",227,598,35253,Week 26.csv,negative
"We have open borders open railways open roads open sea harbors and open Air travel

There are so many cracks in the system

Thats why there are so many illegals from Bulgaria Pakistan Bangladesh Nigeria Somalia and Zimbabwe roaming around SA

We need strong leadership",2353,0,102,12,41,"29/06/2024, 23:20:44",14727,7152,50681,Week 26.csv,negative
 Definitely its a great job God bless you Love you so much from Bangladesh Im your big fan Please remember me dude,6,0,0,0,0,"29/06/2024, 23:09:14",2,16,62,Week 26.csv,positive
 I can tell you one of the areas where all the tax payers money goes that is it goes to empower illegal immigrants like Chinkuki in Manipur coming from Myanmar or Bangladesh These immigrants once they enter Manipur automatically become STs get quotas and now teach at,303,0,6,0,2,"29/06/2024, 22:55:33",2853,302,9649,Week 26.csv,neutral
Marie Stopes Bangladesh Job Recruitment   Apply Online  jobschai Marie Stopes Bangladesh Job Recruitment,17,0,0,0,0,"29/06/2024, 22:24:38",0,4,4,Week 26.csv,neutral
 politics team    chat over interview with Rishi Sunak Ed Davey Keir Starmer trouble on Bangladesh comments who won UK TV debate Biden v Trump bombshell  poll on Tories Finchley key marginal Farage amp flip flops,335,0,0,0,0,"29/06/2024, 22:23:45",10375,1202,178,Week 26.csv,neutral
Bangladesh  Protest rally hold on th June  demanding the unconditional release amp better treatment abroad of BNP Chairperson Begum Khaleda Zia          ,114,0,3,0,3,"29/06/2024, 22:09:07",111,1176,3364,Week 26.csv,neutral
"Bangladesh is a shithole  full of shit One of the most corrupt countries in the world Mafia style gangs known as Mastaans run politics amp politicians from top to bottom
Bangladeshis have imported their sewer politics into the UK  see Tower Hamlets
Mass deportations needed",206,0,4,0,2,"29/06/2024, 22:01:07",4392,4820,119420,Week 26.csv,negative
"Sheikh Hasina is very happy to contribute to Indias economy But she should have been worried about the plight of the Bangladeshs health sector

No wonder India installed a puppet whose job is to serve their purpose ",319,0,20,3,2,"29/06/2024, 20:50:26",7342,1020,5643,Week 26.csv,negative
"After nearly eight months of dormancy street politics in Bangladesh saw a resurgence as the main opposition Bangladesh Nationalist Party BNP organized a massive rally in front of its party headquarters in the Naya Paltan area of the capital

The rally aimed primarily to ",280,0,25,1,1,"29/06/2024, 19:52:10",9260,155,3849,Week 26.csv,neutral
  a one sided journalist is trying to save kuki terrorists  in India but the neighbouring country Bangladesh has done a tremendous job,94,0,4,1,0,"29/06/2024, 19:16:57",215,333,3770,Week 26.csv,neutral
Were thrilled to share the news of yet Today one more successful Conducted interview with AMCO the esteemed Saudi Arabia Dammam biggest mechanical Project Job Trade Test Interview in Dhaka Bangladesh  TIG amp ARC  GG overhad  Fabricator  Fitter  interview with a lineup  ,45,0,1,0,0,"29/06/2024, 19:02:42",85,668,855,Week 26.csv,positive
"Politics is on France players minds ahead of last  match against Belgium at Euro   
France Belgium Euro 
",23,0,0,0,0,"29/06/2024, 18:43:50",5764,31,49,Week 26.csv,neutral
Sir Great Britain is in Europe Maybe you should consider doing politics in Bangladesh instead,146,0,2,0,0,"29/06/2024, 18:37:58",657,869,128699,Week 26.csv,neutral
 any disputes regarding Waqf property should be resolved by the Waqf Tribunal  If there is a quasilegal system for Muslims in India why were Islamic states of Pakistan and Bangladesh carved out of India,82,0,2,0,0,"29/06/2024, 17:48:57",548,2931,61050,Week 26.csv,neutral
you  can guess who this relates to  the world of politics in the USA and UK is a shocking disgusting mess Biden reminds me of Starmer he keeps forgetting his lines and then goes off on a Tangent about Bangladesh because he remembered that they support Palestine ,47,0,0,0,0,"29/06/2024, 17:30:42",4268,1529,61581,Week 26.csv,negative
 Nonetheless the government should have improved and developed the medical system of Bangladesh So that people can take treatment in the home as well as people from other countries can come to take treatment in BD,324,0,2,0,0,"29/06/2024, 16:49:49",60,208,385,Week 26.csv,neutral
"The project Advancing Decent Work in Bangladesh was officially launched on Thursday to support labour system reforms as per reports

EventNews ApparelIndustry Bangladesh

",52,0,0,0,0,"29/06/2024, 16:30:19",4744,478,275,Week 26.csv,neutral
  Honesty is not Many of them come from Bangladesh India and other south Asian countries They have to spend more than that to get this cheap slavery job,158,0,2,1,0,"29/06/2024, 16:10:59",244,199,56,Week 26.csv,negative
" making thm run fm protest site is no  parmanent  solu
today police acted becuz of bjp CMtmrw  if someothr CM come police might not act

permannt solu is to identify them  and  either send them back to  bangladesh  or remove cancer permanently

else  cancer will  keep  spreading",116,0,3,0,1,"29/06/2024, 14:30:15",35,488,18626,Week 26.csv,negative
 June   Protest rally demanding the unconditional release of BNP Chairperson Begum Khaleda Zia             FreeKhaledaZia  BNP ,1588,0,59,2,9,"29/06/2024, 13:51:16",68713,183,459,Week 26.csv,neutral
"  From Bangladesh 
Good job",2,0,0,0,0,"29/06/2024, 13:17:57",3,20,1,Week 26.csv,positive
"This is the first major programme organised by the BNP in nearly eight months
bangladesh BNP Politics newsupdate 
",627,0,7,0,0,"29/06/2024, 12:55:34",1880021,64,461,Week 26.csv,neutral
"At Dhaka Universitys Haji Muhammad Mohsin Hall canteen a ten taka note was found in a meat curry sparking amusement among students after a photo went viral The canteen manager attributed it to a busy period dismissing it as accidental 
DhakaUniversity  DU  Bangladesh ",20,0,0,0,0,"29/06/2024, 12:53:40",6,12,1,Week 26.csv,neutral
  They are secretly exported outside India in Bangladesh and Pakistan If you are real hindu wheres your protest against that Most of you guys are online sanatani First protest against that exporting of beef by big dairy industries sometimes when they cant export,45,0,0,1,0,"29/06/2024, 12:32:16",54,225,2608,Week 26.csv,negative
  Thats not how politics or the media work But putting that aside there has been an issue with visa overstays and spurious asylum claims from Bangladesh has there not,26,0,0,1,0,"29/06/2024, 12:28:33",415,505,67206,Week 26.csv,neutral
"India vs Bangladesh 
Bangladeshi best profit and good style system Bangladesh so lucky bang ",11,0,0,0,0,"29/06/2024, 09:52:17",1,5,0,Week 26.csv,positive
" Considering pursuing MBBS in Bangladesh Heres all you need to know about eligibility for admission in the top private medical colleges for Indian students

Learn More 

Qualification Indian students must have completed  or equivalent with",31,0,3,0,3,"29/06/2024, 09:27:47",2958,304,819,Week 26.csv,neutral
            I remember i hd a mathematics teacher who was in Bangladesh during east pakistan era He used to tell me that when students r involved in active politics the government crumbles very soon Sadly students r involved in something more vile here,110,0,5,2,0,"29/06/2024, 08:48:48",5790,6577,34766,Week 26.csv,negative
"This is one of the reason Pakistan  Bangladesh have seen cricket standards deteriorate and Afghans have risen

No class no sportsman spirit  bring politics n religion in sports and play vindictively 

We shud avoid inviting them as commentators during IPL too",144209,77,2421,136,410,"29/06/2024, 08:28:51",173301,648,152629,Week 26.csv,negative
 No way  we are not taking them  already  thousands indian illegally staying in Bangladesh doing job without proper work visa  Also millions of rohingya refugees staying in Bangladesh,1564,0,5,4,1,"29/06/2024, 08:21:15",128,649,24259,Week 26.csv,negative
We sincerely invite qualified job seekers to join our family and contribute to the CSCEC Bangladesh project construction realizing selfworth through team collaboration  UpWeBuild  recruitment ,50,0,0,0,1,"29/06/2024, 07:37:27",28,2,13,Week 26.csv,positive
 The problem is politicians are busy with politics and citizens with their lives None realise the potential thre for the future They dont see whats happening is these regions Bangladesh Assam Kerala or West Bengal Hope isnt too late,10,0,0,0,0,"29/06/2024, 06:47:41",152,288,26274,Week 26.csv,negative
   What about SSC TET PSC FOOD CORPORATION JOB WHAT ABOUT SANDESHKHALI CASE SHAHJAHAN WHAT ABOUT THE TERRORIST ACTIVITIES CONTINUING FROM BANGLADESH ADMITTED BY THE TERRORIST CAUGHT IN DURGAPUR,33,0,1,0,0,"29/06/2024, 06:28:56",13,106,833,Week 26.csv,negative
 my dad wants me to make him a resume and help him look for a new job i want to do this bc i do not like him suffering  when we go to bangladesh this year or next year theyll make me look for tickets and hotels,17,0,1,1,0,"29/06/2024, 06:13:49",732,628,158284,Week 26.csv,negative
"DADDY 
            

Do his students still retweets  

Sending love from Africa to the villages of Bangladesh ",69,0,0,0,0,"29/06/2024, 06:12:06",276,105,2941,Week 26.csv,positive
"     VoteLabour to support Keirofprinciples  finizh the job Of killing more Muslims 

People should understand this is not against Bangladesh it is against Islam amp Muslims amp LabourParty the European party with heights record of killing Muslims used Bangladeshi like when ",91,0,0,0,0,"29/06/2024, 04:03:58",2360,2966,17017,Week 26.csv,negative
   A small fraction of refugees migrants including those in small boats are from Bangladesh Makes no sense for Starmer or Ashworth to target Bangladesh out of every other country where they have returns agreement unless its dog whistle politics against a tiny community in the UK,169,0,3,1,0,"29/06/2024, 03:52:37",763,362,140324,Week 26.csv,negative
 Not the same at all Hes talking about people who have been processed and the claim denied It happens in any system And hes saying even theyre not being returned even though we have a returns deal with Bangladesh What is the issue with that other than your dislike for KS,47,0,3,0,0,"29/06/2024, 03:36:51",138257,2446,253866,Week 26.csv,negative
"Back in s My father was in politics
He left when Bangladesh happened
He never voted again till IMRAN KHAN came into politics
He said who would never voted anyone but Murshid IK
Its like a family thing for us now to support IKcuz he is the only one on HAQ",6,0,0,0,0,"29/06/2024, 01:53:19",283,636,89828,Week 26.csv,neutral
Sohagi Jahan Tonu was a yearold student found murdered on March   in Comilla Cantonment Bangladesh Her death led to widespread protests and highlighted issues of genderbased violence and inefficiency in the Bangladeshi legal system ,108,0,2,1,0,"29/06/2024, 01:24:35",185,27,3,Week 26.csv,negative
"Why Hindus of Bangladesh or Pakistan want to relocate to India 

Abrahamic and Indic religions are not the same 

Some may say caste based atrocities happens still now 
But
Caste is never by birth as per Vedas and Gita 
So whatever birth based caste system one can quote it",24,0,0,0,0,"29/06/2024, 01:23:46",33,68,403,Week 26.csv,neutral
" Do people from Canada Australia or like you from South Africacross the channel in boats

Youre lying and conflating

There was no dog whistle as he was stating a fact about the returns system for those whos cases fail to gain asylum  using Bangladesh as an example",34,0,4,0,0,"29/06/2024, 00:32:07",81,102,5162,Week 26.csv,negative
"Smile when calamity comes in front of you in the road to Islam




 sahiladeem islamicmessagingsystem muslimidentity pakistan enoughisenough 
stateofislam islam IMS absolutelynot muslim freepalestine imrankhan pakistan india lahore karachi bangladesh gaza ",5055,4,114,0,62,"29/06/2024, 00:18:07",13464,0,100,Week 26.csv,neutral
"Bangladesh will lose access to LDCspecific dutyfree and quotafree schemes
businessnews
",576,0,2,0,0,"28/06/2024, 23:55:43",1879916,64,461,Week 26.csv,negative
"  VoteLabour help them finish their job of killing Muslims They frustrated  years not done that while their friends doing freely 

People should understand this is not against Bangladesh it is against Islam amp Muslims amp LabourParty the European party with heights record of ",23,0,0,0,0,"28/06/2024, 23:25:19",2360,2966,17017,Week 26.csv,negative
"Geopolitics  GeographyPolitics 
Every nation is motivated by national interests or national interests disguised as moral concerns Bangladesh amp Sri Lanka is part of SAARC plus their sphere of influence is heavily meddled by USA amp China",1407,3,9,0,3,"28/06/2024, 22:23:10",4376,2840,45806,Week 26.csv,neutral
 Thanks to the M favoring system M favoring Social networking sites and M favoring education This is just starting we will soon face what west Bengal is going through and what Jammu Kashmir Pakistan and Bangladesh Hindus went through,59,0,0,0,0,"28/06/2024, 22:21:50",16,84,10907,Week 26.csv,neutral
Prime Minister SheikhHasina said the  government has made Bangladeshs education system multidimensional and creative prioritising science and technology to maintain global standard No country can adopt with the everchanging world without knowledge of science ,1044,0,55,5,12,"28/06/2024, 22:12:38",6452,23,4195,Week 26.csv,positive
Congratulations to Bangladesh Students Party BSP on their first founding anniversary A small but dedicated group of talented youths can change the future course of a nation ,237,0,21,0,4,"28/06/2024, 21:15:24",3070,0,2643,Week 26.csv,positive
 Religion is used by all forces in politics statement by PM of Bangladesh is proof of this ,1,0,0,0,0,"28/06/2024, 19:43:05",26,89,85,Week 26.csv,neutral
 From Assam its a proof that meitei from cachar bangladesh dominate meitei politics including biren Thats the cause number  of this conflict Those immigrants doesnt know the past relationship between meitei n Kuki,68,0,0,0,0,"28/06/2024, 19:09:21",50,15,656,Week 26.csv,negative
    Just want to thank you for everything youve done for Bangladesh I mean England Erm Actually Im glad youre going British politics needs to be about British problems,20,0,0,0,0,"28/06/2024, 18:55:44",630,817,15325,Week 26.csv,positive
 Where is the partner since she also has fake docs My neighbour is from Bangladesh and has fake documents as well He told me how he beat the system using asylum papers until he got an ID Yoh,137,0,8,1,0,"28/06/2024, 17:35:58",1740,2275,18284,Week 26.csv,negative
"Despite such breaches in the past no action was taken to reinforce the jail security system Crime Nationalaffairs Bangladesh TheDailyStar
 ",73,0,0,0,0,"28/06/2024, 17:32:02",20498,83,48,Week 26.csv,negative
    Your community should have been those in your ward  which is nowhere near Bangladesh  Good riddance your priorities should be no where near UK politics,8,0,0,0,0,"28/06/2024, 17:28:08",3278,3289,44697,Week 26.csv,negative
   Not Vote bank Politics special stressing on Christianity in report is prelude to something more sinister plan in Northeast  for future especially Manipur Bangladesh and Myanmar ie Zoland We ought not deflect but come up with a plan to tackle this upcoming engineered chaos,68,0,0,0,0,"28/06/2024, 16:53:31",40,57,380,Week 26.csv,negative
" Sheikh Hasina has jailed Bangladeshs most popular Prime Minister Begum Khaleda Zia in a false case of just  crore rupees just to maintain her power and keep her out of politics

Begum Khaleda Zia never lost any parliamentary election in her political life ",55,0,3,0,0,"28/06/2024, 16:42:38",6722,448,10309,Week 26.csv,negative
Crawling peg system IMF lauds Bangladeshs efforts to take forward forex reserves ,80,1,0,0,0,"28/06/2024, 16:36:24",19763,109,285,Week 26.csv,positive
 A national anthem written by the greatest writer ever to live The same man who wrote against the partition of Bengal who gave back his knighthood to protest against the Jallianwala Bagh massacre whose writing is Bangladeshs national anthem Robindronath Thakur Our pride,277,0,0,0,0,"28/06/2024, 16:29:55",20,2,917,Week 26.csv,positive
   He was describing how the asylum system works  similar to asylum systems across the globe and using Bangladesh as an example of a country we have a return agreement with What are we supposed to do with failed asylum seekers,23,0,0,1,0,"28/06/2024, 16:17:46",3014,3552,12369,Week 26.csv,neutral
   Many of those from Bangladesh get into the country on visas overstay and then put in bogus asylum claims to try and remain in the country This is what its about sending them back because they are not in danger and are abusing the asylum system ,12,0,0,0,0,"28/06/2024, 15:53:14",4090,2638,43112,Week 26.csv,neutral
    If Bangladesh can do it Australia can too Especially when both sides of politics have agreed on nuclear subs in  Duttons plan will have nuclear power earlier in  While we have had a world class nuclear medical facility in Sydney since the s,20,0,0,1,0,"28/06/2024, 15:46:41",698,571,15709,Week 26.csv,neutral
" 
Bangladesh India Politics newsupdate ",20997,6,301,94,19,"28/06/2024, 15:03:28",1880022,64,461,Week 26.csv,neutral
  From what I  can gather hes talking about people using the asylum system to stay in the country and anybody claiming asylum from Bangladesh has no grounds its not at war or an unsafe country being poor doesnt qualify you refugee status,10,0,0,0,0,"28/06/2024, 14:49:53",4090,2638,43112,Week 26.csv,neutral
" seemingly unconcerned by  students from Bangladesh claiming asylum at the end of their student visa

The obsession with bloody boats has boiled peoples brains

",15,0,0,0,0,"28/06/2024, 13:42:36",415,505,67206,Week 26.csv,negative
"Oh the ironyAll the usual tabloids who scream about FREE SPEECH now hand wringing because Keir Starmer mentioned Bangladesh under pressure from Harry Cole of the Sun who sees tripping up Labour as an amusing daily sport
Is this REALLY what politics is about",273,0,7,2,1,"28/06/2024, 13:32:53",15509,7035,120822,Week 26.csv,negative
" HPM SheikhHasina on Thursday June said that the curriculum has been modernised to flourish the talents of students as they aim to create a balanced public welfareoriented universal and standard education system

Bangladesh
SmartBangladesh  ",218,0,15,0,4,"28/06/2024, 13:18:27",3047,188,4547,Week 26.csv,positive
 Muslims are already  in  and in ground level reality its  out of which some muslims votes in both Nepal and IndiaIronically some muslims votes in all India Nepal and Bangladesh too We Hindu cant never think like this like sort of capturing system I am from Nepal,89,0,1,0,0,"28/06/2024, 13:03:03",215,194,6896,Week 26.csv,neutral
  great job  integrated Bangladesh with West Bengal,68,0,0,0,0,"28/06/2024, 13:00:26",819,1386,58669,Week 26.csv,positive
 The video is A FAKEWhat Starmer actually did was to praise Bangladesh as being a Country that HAS a returns system and honours itDont be MISLED by A and Tory HQ FAKE NEWS,63,0,2,0,0,"28/06/2024, 11:57:37",2259,638,8916,Week 26.csv,negative
"   He said that for asylum purposes Bangladesh is safe 

That is factually wrong for LGBTQ people and also again according to the Home Office women facing genderbased violence

Pure dog whistle politics Straight and simple Stop defending him",15,0,1,0,0,"28/06/2024, 11:56:02",1848,1906,28290,Week 26.csv,negative
          Specia  via   THE REAL STORY OF DIGITAL BANGLADESH I WOULD SAY VANGADESHDESTROYED LAND BY CORRUPT GOVERNMENTS BY THEIR FAULTY AND CORRUPT SYSTEM ALL SHOULD BE PUNISHED,4,0,0,0,0,"28/06/2024, 11:49:16",35,50,1,Week 26.csv,negative
" Pursue Your MBBS Dream in Bangladesh 

 Join a vibrant community of international students at top medical universities in Bangladesh Experience worldclass education affordable fees and a welcoming environment

 Admission Process



Apply ",38,0,4,0,3,"28/06/2024, 11:23:46",2958,304,819,Week 26.csv,positive
"              WB is gradually becoming Bangladesh 
Cant expect state govt to take any actions because they favor illegal immigrants for vote bank politics
Why is central govt acting blind and deaf",145,0,0,0,0,"28/06/2024, 10:05:30",117,285,1616,Week 26.csv,negative
 Forgot to tag  who turned delhi into Singapore with Bangladesh drainage system ,130,0,0,0,0,"28/06/2024, 09:44:20",46,57,79169,Week 26.csv,neutral
Be careful when using web development companies in Bangladesh especially Ontik Technology They may try to scam when they have to release your codes to you Make sure you use escrow system preferably Upworkof payment and dont pay any deposit Ontiktechnology,14,0,1,0,0,"28/06/2024, 09:21:45",87,94,7,Week 26.csv,negative
"Politics Media and Social Cohesion in Bangladesh   BridgingBeliefs Interbelief Interfaith Video

",26,0,0,0,0,"28/06/2024, 09:18:26",28,183,494,Week 26.csv,neutral
           This the moral degeneracy of politics Why is he talking about Bangladesh in Particular Is it because they have no lobby in UK like Israelis who milk privileges like blood sucking leeches,21,0,2,1,0,"28/06/2024, 07:02:31",670,1212,16202,Week 26.csv,negative
" Labour Councillor Resigns in Protest 

The recent resignation of Labour councillor Sabina Akhtar over Sir Keir Starmers comments on Bangladesh during a QampA session has ignited a significant debate 

First lets consider the context Starmer mentioned Bangladesh while",91,0,0,0,0,"28/06/2024, 04:29:39",4134,2195,6618,Week 26.csv,negative
"  Here you go  The day before 

When they come from countries like Bangladesh or wherever 

Maybe open your eyes Belinda and stop being so gullible  Labour playing dog whistle  politics",81,0,1,1,0,"28/06/2024, 03:25:07",1001,582,64590,Week 26.csv,negative
      Fi Bangladeshi  Fi presentation World Economy for  WEB Wheel Economical Business WEBillion IDN DONeconomics Industrial  hrs Bangladesh  politics  ,13,0,0,0,0,"28/06/2024, 01:07:13",431,1649,48552,Week 26.csv,neutral
 He used Bangladesh as an example of how the current UK asylum system is supposed to work That is not attacking the Bangladeshi community,200,0,1,1,0,"28/06/2024, 00:34:49",314,1587,29176,Week 26.csv,neutral
